Date,Hour,Temp
5/31/2019,22,16.4
5/31/2019,23,16.4
6/1/2019,0,16.4
6/1/2019,1,18.36666667
6/1/2019,2,20.33333333
6/1/2019,3,22.3
6/1/2019,4,23.16666667
6/1/2019,5,24.03333333
6/1/2019,6,24.9
6/1/2019,7,25.1
6/1/2019,8,25.3
6/1/2019,9,25.5
6/1/2019,10,24.73333333
6/1/2019,11,23.96666667
6/1/2019,12,23.2
6/1/2019,13,22.36666667
6/1/2019,14,21.53333333
6/1/2019,15,20.7
6/1/2019,16,20.33333333
6/1/2019,17,19.96666667
6/1/2019,18,19.6
6/1/2019,19,19.3
6/1/2019,20,19
6/1/2019,21,18.7
6/1/2019,22,18.36666667
6/1/2019,23,18.03333333
6/2/2019,0,17.7
6/2/2019,1,19.3
6/2/2019,2,20.9
6/2/2019,3,22.5
6/2/2019,4,23.16666667
6/2/2019,5,23.83333333
6/2/2019,6,24.5
6/2/2019,7,25.03333333
6/2/2019,8,25.56666667
6/2/2019,9,26.1
6/2/2019,10,25.93333333
6/2/2019,11,25.76666667
6/2/2019,12,25.6
6/2/2019,13,24.46666667
6/2/2019,14,23.33333333
6/2/2019,15,22.2
6/2/2019,16,21.83333333
6/2/2019,17,21.46666667
6/2/2019,18,21.1
6/2/2019,19,20.66666667
6/2/2019,20,20.23333333
6/2/2019,21,19.8
6/2/2019,22,18.73333333
6/2/2019,23,17.66666667
6/3/2019,0,16.6
6/3/2019,1,18.5
6/3/2019,2,20.4
6/3/2019,3,22.3
6/3/2019,4,23.06666667
6/3/2019,5,23.83333333
6/3/2019,6,24.6
6/3/2019,7,24.9
6/3/2019,8,25.2
6/3/2019,9,25.5
6/3/2019,10,25.2
6/3/2019,11,24.9
6/3/2019,12,24.6
6/3/2019,13,23.83333333
6/3/2019,14,23.06666667
6/3/2019,15,22.3
6/3/2019,16,21.93333333
6/3/2019,17,21.56666667
6/3/2019,18,21.2
6/3/2019,19,20.73333333
6/3/2019,20,20.26666667
6/3/2019,21,19.8
6/3/2019,22,19.13333333
6/3/2019,23,18.46666667
6/4/2019,0,17.8
6/4/2019,1,19.23333333
6/4/2019,2,20.66666667
6/4/2019,3,22.1
6/4/2019,4,22.93333333
6/4/2019,5,23.76666667
6/4/2019,6,24.6
6/4/2019,7,24.8
6/4/2019,8,25
6/4/2019,9,25.2
6/4/2019,10,24.63333333
6/4/2019,11,24.06666667
6/4/2019,12,23.5
6/4/2019,13,22.53333333
6/4/2019,14,21.56666667
6/4/2019,15,20.6
6/4/2019,16,20.46666667
6/4/2019,17,20.33333333
6/4/2019,18,20.2
6/4/2019,19,19.5
6/4/2019,20,18.8
6/4/2019,21,18.1
6/4/2019,22,17.43333333
6/4/2019,23,16.76666667
6/5/2019,0,16.1
6/5/2019,1,18.2
6/5/2019,2,20.3
6/5/2019,3,22.4
6/5/2019,4,23.23333333
6/5/2019,5,24.06666667
6/5/2019,6,24.9
6/5/2019,7,25.46666667
6/5/2019,8,26.03333333
6/5/2019,9,26.6
6/5/2019,10,26.16666667
6/5/2019,11,25.73333333
6/5/2019,12,25.3
6/5/2019,13,24.33333333
6/5/2019,14,23.36666667
6/5/2019,15,22.4
6/5/2019,16,21.46666667
6/5/2019,17,20.53333333
6/5/2019,18,19.6
6/5/2019,19,19.16666667
6/5/2019,20,18.73333333
6/5/2019,21,18.3
6/5/2019,22,17.86666667
6/5/2019,23,17.43333333
6/6/2019,0,17
6/6/2019,1,18.9
6/6/2019,2,20.8
6/6/2019,3,22.7
6/6/2019,4,23.63333333
6/6/2019,5,24.56666667
6/6/2019,6,25.5
6/6/2019,7,25.93333333
6/6/2019,8,26.36666667
6/6/2019,9,26.8
6/6/2019,10,26.86666667
6/6/2019,11,26.93333333
6/6/2019,12,27
6/6/2019,13,25.66666667
6/6/2019,14,24.33333333
6/6/2019,15,23
6/6/2019,16,22.63333333
6/6/2019,17,22.26666667
6/6/2019,18,21.9
6/6/2019,19,21.16666667
6/6/2019,20,20.43333333
6/6/2019,21,19.7
6/6/2019,22,19.13333333
6/6/2019,23,18.56666667
6/7/2019,0,18
6/7/2019,1,20.06666667
6/7/2019,2,22.13333333
6/7/2019,3,24.2
6/7/2019,4,25.23333333
6/7/2019,5,26.26666667
6/7/2019,6,27.3
6/7/2019,7,27.5
6/7/2019,8,27.7
6/7/2019,9,27.9
6/7/2019,10,27.83333333
6/7/2019,11,27.76666667
6/7/2019,12,27.7
6/7/2019,13,26.8
6/7/2019,14,25.9
6/7/2019,15,25
6/7/2019,16,24.53333333
6/7/2019,17,24.06666667
6/7/2019,18,23.6
6/7/2019,19,22.6
6/7/2019,20,21.6
6/7/2019,21,20.6
6/7/2019,22,20.16666667
6/7/2019,23,19.73333333
6/8/2019,0,19.3
6/8/2019,1,21.93333333
6/8/2019,2,24.56666667
6/8/2019,3,27.2
6/8/2019,4,28.36666667
6/8/2019,5,29.53333333
6/8/2019,6,30.7
6/8/2019,7,30.9
6/8/2019,8,31.1
6/8/2019,9,31.3
6/8/2019,10,30.96666667
6/8/2019,11,30.63333333
6/8/2019,12,30.3
6/8/2019,13,28.83333333
6/8/2019,14,27.36666667
6/8/2019,15,25.9
6/8/2019,16,25.53333333
6/8/2019,17,25.16666667
6/8/2019,18,24.8
6/8/2019,19,24.36666667
6/8/2019,20,23.93333333
6/8/2019,21,23.5
6/8/2019,22,23.46666667
6/8/2019,23,23.43333333
6/9/2019,0,23.4
6/9/2019,1,24.73333333
6/9/2019,2,26.06666667
6/9/2019,3,27.4
6/9/2019,4,28.6
6/9/2019,5,29.8
6/9/2019,6,31
6/9/2019,7,31.06666667
6/9/2019,8,31.13333333
6/9/2019,9,31.2
6/9/2019,10,30.76666667
6/9/2019,11,30.33333333
6/9/2019,12,29.9
6/9/2019,13,28.96666667
6/9/2019,14,28.03333333
6/9/2019,15,27.1
6/9/2019,16,26.3
6/9/2019,17,25.5
6/9/2019,18,24.7
6/9/2019,19,24.3
6/9/2019,20,23.9
6/9/2019,21,23.5
6/9/2019,22,23.33333333
6/9/2019,23,23.16666667
6/10/2019,0,23
6/10/2019,1,23.66666667
6/10/2019,2,24.33333333
6/10/2019,3,25
6/10/2019,4,25.76666667
6/10/2019,5,26.53333333
6/10/2019,6,27.3
6/10/2019,7,27.83333333
6/10/2019,8,28.36666667
6/10/2019,9,28.9
6/10/2019,10,28.5
6/10/2019,11,28.1
6/10/2019,12,27.7
6/10/2019,13,26.9
6/10/2019,14,26.1
6/10/2019,15,25.3
6/10/2019,16,24.83333333
6/10/2019,17,24.36666667
6/10/2019,18,23.9
6/10/2019,19,23.66666667
6/10/2019,20,23.43333333
6/10/2019,21,23.2
6/10/2019,22,22.83333333
6/10/2019,23,22.46666667
6/11/2019,0,22.1
6/11/2019,1,23.5
6/11/2019,2,24.9
6/11/2019,3,26.3
6/11/2019,4,26.53333333
6/11/2019,5,26.76666667
6/11/2019,6,27
6/11/2019,7,27.43333333
6/11/2019,8,27.86666667
6/11/2019,9,28.3
6/11/2019,10,27.36666667
6/11/2019,11,26.43333333
6/11/2019,12,25.5
6/11/2019,13,24.3
6/11/2019,14,23.1
6/11/2019,15,21.9
6/11/2019,16,21.53333333
6/11/2019,17,21.16666667
6/11/2019,18,20.8
6/11/2019,19,20.43333333
6/11/2019,20,20.06666667
6/11/2019,21,19.7
6/11/2019,22,19.3
6/11/2019,23,18.9
6/12/2019,0,18.5
6/12/2019,1,20.76666667
6/12/2019,2,23.03333333
6/12/2019,3,25.3
6/12/2019,4,26.73333333
6/12/2019,5,28.16666667
6/12/2019,6,29.6
6/12/2019,7,29.03333333
6/12/2019,8,28.46666667
6/12/2019,9,27.9
6/12/2019,10,28.03333333
6/12/2019,11,28.16666667
6/12/2019,12,28.3
6/12/2019,13,26.8
6/12/2019,14,25.3
6/12/2019,15,23.8
6/12/2019,16,23.2
6/12/2019,17,22.6
6/12/2019,18,22
6/12/2019,19,21.73333333
6/12/2019,20,21.46666667
6/12/2019,21,21.2
6/12/2019,22,20.96666667
6/12/2019,23,20.73333333
6/13/2019,0,20.5
6/13/2019,1,22.3
6/13/2019,2,24.1
6/13/2019,3,25.9
6/13/2019,4,27.23333333
6/13/2019,5,28.56666667
6/13/2019,6,29.9
6/13/2019,7,30.13333333
6/13/2019,8,30.36666667
6/13/2019,9,30.6
6/13/2019,10,30.5
6/13/2019,11,30.4
6/13/2019,12,30.3
6/13/2019,13,29.03333333
6/13/2019,14,27.76666667
6/13/2019,15,26.5
6/13/2019,16,25.6
6/13/2019,17,24.7
6/13/2019,18,23.8
6/13/2019,19,23.2
6/13/2019,20,22.6
6/13/2019,21,22
6/13/2019,22,21.73333333
6/13/2019,23,21.46666667
6/14/2019,0,21.2
6/14/2019,1,24.03333333
6/14/2019,2,26.86666667
6/14/2019,3,29.7
6/14/2019,4,30.5
6/14/2019,5,31.3
6/14/2019,6,32.1
6/14/2019,7,32.5
6/14/2019,8,32.9
6/14/2019,9,33.3
6/14/2019,10,33
6/14/2019,11,32.7
6/14/2019,12,32.4
6/14/2019,13,30.7
6/14/2019,14,29
6/14/2019,15,27.3
6/14/2019,16,26.46666667
6/14/2019,17,25.63333333
6/14/2019,18,24.8
6/14/2019,19,24.83333333
6/14/2019,20,24.86666667
6/14/2019,21,24.9
6/14/2019,22,24.76666667
6/14/2019,23,24.63333333
6/15/2019,0,24.5
6/15/2019,1,25.9
6/15/2019,2,27.3
6/15/2019,3,28.7
6/15/2019,4,29.1
6/15/2019,5,29.5
6/15/2019,6,29.9
6/15/2019,7,30.36666667
6/15/2019,8,30.83333333
6/15/2019,9,31.3
6/15/2019,10,31.4
6/15/2019,11,31.5
6/15/2019,12,31.6
6/15/2019,13,30
6/15/2019,14,28.4
6/15/2019,15,26.8
6/15/2019,16,26.53333333
6/15/2019,17,26.26666667
6/15/2019,18,26
6/15/2019,19,25.53333333
6/15/2019,20,25.06666667
6/15/2019,21,24.6
6/15/2019,22,24.5
6/15/2019,23,24.4
6/16/2019,0,24.3
6/16/2019,1,25.5
6/16/2019,2,26.7
6/16/2019,3,27.9
6/16/2019,4,28.46666667
6/16/2019,5,29.03333333
6/16/2019,6,29.6
6/16/2019,7,29.86666667
6/16/2019,8,30.13333333
6/16/2019,9,30.4
6/16/2019,10,30
6/16/2019,11,29.6
6/16/2019,12,29.2
6/16/2019,13,28.46666667
6/16/2019,14,27.73333333
6/16/2019,15,27
6/16/2019,16,26.46666667
6/16/2019,17,25.93333333
6/16/2019,18,25.4
6/16/2019,19,24.5
6/16/2019,20,23.6
6/16/2019,21,22.7
6/16/2019,22,22.23333333
6/16/2019,23,21.76666667
6/17/2019,0,21.3
6/17/2019,1,23.63333333
6/17/2019,2,25.96666667
6/17/2019,3,28.3
6/17/2019,4,28.96666667
6/17/2019,5,29.63333333
6/17/2019,6,30.3
6/17/2019,7,30.56666667
6/17/2019,8,30.83333333
6/17/2019,9,31.1
6/17/2019,10,31.13333333
6/17/2019,11,31.16666667
6/17/2019,12,31.2
6/17/2019,13,29.8
6/17/2019,14,28.4
6/17/2019,15,27
6/17/2019,16,26.96666667
6/17/2019,17,26.93333333
6/17/2019,18,26.9
6/17/2019,19,26.36666667
6/17/2019,20,25.83333333
6/17/2019,21,25.3
6/17/2019,22,25.5
6/17/2019,23,25.7
6/18/2019,0,25.9
6/18/2019,1,26.26666667
6/18/2019,2,26.63333333
6/18/2019,3,27
6/18/2019,4,27.76666667
6/18/2019,5,28.53333333
6/18/2019,6,29.3
6/18/2019,7,29.3
6/18/2019,8,29.3
6/18/2019,9,29.3
6/18/2019,10,28.86666667
6/18/2019,11,28.43333333
6/18/2019,12,28
6/18/2019,13,27.3
6/18/2019,14,26.6
6/18/2019,15,25.9
6/18/2019,16,25.03333333
6/18/2019,17,24.16666667
6/18/2019,18,23.3
6/18/2019,19,22.6
6/18/2019,20,21.9
6/18/2019,21,21.2
6/18/2019,22,21.3
6/18/2019,23,21.4
6/19/2019,0,21.5
6/19/2019,1,23.63333333
6/19/2019,2,25.76666667
6/19/2019,3,27.9
6/19/2019,4,28.33333333
6/19/2019,5,28.76666667
6/19/2019,6,29.2
6/19/2019,7,26.06666667
6/19/2019,8,22.93333333
6/19/2019,9,19.8
6/19/2019,10,22.76666667
6/19/2019,11,25.73333333
6/19/2019,12,28.7
6/19/2019,13,27.4
6/19/2019,14,26.1
6/19/2019,15,24.8
6/19/2019,16,24.13333333
6/19/2019,17,23.46666667
6/19/2019,18,22.8
6/19/2019,19,22.36666667
6/19/2019,20,21.93333333
6/19/2019,21,21.5
6/19/2019,22,20.96666667
6/19/2019,23,20.43333333
6/20/2019,0,19.9
6/20/2019,1,22.23333333
6/20/2019,2,24.56666667
6/20/2019,3,26.9
6/20/2019,4,27.7
6/20/2019,5,28.5
6/20/2019,6,29.3
6/20/2019,7,29.4
6/20/2019,8,29.5
6/20/2019,9,29.6
6/20/2019,10,29.8
6/20/2019,11,30
6/20/2019,12,30.2
6/20/2019,13,28.66666667
6/20/2019,14,27.13333333
6/20/2019,15,25.6
6/20/2019,16,25.56666667
6/20/2019,17,25.53333333
6/20/2019,18,25.5
6/20/2019,19,24.5
6/20/2019,20,23.5
6/20/2019,21,22.5
6/20/2019,22,21.96666667
6/20/2019,23,21.43333333
6/21/2019,0,20.9
6/21/2019,1,23.1
6/21/2019,2,25.3
6/21/2019,3,27.5
6/21/2019,4,28.5
6/21/2019,5,29.5
6/21/2019,6,30.5
6/21/2019,7,31.03333333
6/21/2019,8,31.56666667
6/21/2019,9,32.1
6/21/2019,10,31.4
6/21/2019,11,30.7
6/21/2019,12,30
6/21/2019,13,28.96666667
6/21/2019,14,27.93333333
6/21/2019,15,26.9
6/21/2019,16,26
6/21/2019,17,25.1
6/21/2019,18,24.2
6/21/2019,19,23.53333333
6/21/2019,20,22.86666667
6/21/2019,21,22.2
6/21/2019,22,21.8
6/21/2019,23,21.4
6/22/2019,0,21
6/22/2019,1,23.53333333
6/22/2019,2,26.06666667
6/22/2019,3,28.6
6/22/2019,4,29.53333333
6/22/2019,5,30.46666667
6/22/2019,6,31.4
6/22/2019,7,31.63333333
6/22/2019,8,31.86666667
6/22/2019,9,32.1
6/22/2019,10,31.73333333
6/22/2019,11,31.36666667
6/22/2019,12,31
6/22/2019,13,29.93333333
6/22/2019,14,28.86666667
6/22/2019,15,27.8
6/22/2019,16,26.8
6/22/2019,17,25.8
6/22/2019,18,24.8
6/22/2019,19,24.66666667
6/22/2019,20,24.53333333
6/22/2019,21,24.4
6/22/2019,22,23.76666667
6/22/2019,23,23.13333333
6/23/2019,0,22.5
6/23/2019,1,25.03333333
6/23/2019,2,27.56666667
6/23/2019,3,30.1
6/23/2019,4,30.73333333
6/23/2019,5,31.36666667
6/23/2019,6,32
6/23/2019,7,32.7
6/23/2019,8,33.4
6/23/2019,9,34.1
6/23/2019,10,33.73333333
6/23/2019,11,33.36666667
6/23/2019,12,33
6/23/2019,13,31.5
6/23/2019,14,30
6/23/2019,15,28.5
6/23/2019,16,28.16666667
6/23/2019,17,27.83333333
6/23/2019,18,27.5
6/23/2019,19,26.93333333
6/23/2019,20,26.36666667
6/23/2019,21,25.8
6/23/2019,22,25.43333333
6/23/2019,23,25.06666667
6/24/2019,0,24.7
6/24/2019,1,26.26666667
6/24/2019,2,27.83333333
6/24/2019,3,29.4
6/24/2019,4,30.1
6/24/2019,5,30.8
6/24/2019,6,31.5
6/24/2019,7,31.7
6/24/2019,8,31.9
6/24/2019,9,32.1
6/24/2019,10,31.9
6/24/2019,11,31.7
6/24/2019,12,31.5
6/24/2019,13,30.03333333
6/24/2019,14,28.56666667
6/24/2019,15,27.1
6/24/2019,16,26.56666667
6/24/2019,17,26.03333333
6/24/2019,18,25.5
6/24/2019,19,25
6/24/2019,20,24.5
6/24/2019,21,24
6/24/2019,22,24.13333333
6/24/2019,23,24.26666667
6/25/2019,0,24.4
6/25/2019,1,25.36666667
6/25/2019,2,26.33333333
6/25/2019,3,27.3
6/25/2019,4,27.93333333
6/25/2019,5,28.56666667
6/25/2019,6,29.2
6/25/2019,7,29.56666667
6/25/2019,8,29.93333333
6/25/2019,9,30.3
6/25/2019,10,30.16666667
6/25/2019,11,30.03333333
6/25/2019,12,29.9
6/25/2019,13,29.5
6/25/2019,14,29.1
6/25/2019,15,28.7
6/25/2019,16,28.6
6/25/2019,17,28.5
6/25/2019,18,28.4
6/25/2019,19,27.9
6/25/2019,20,27.4
6/25/2019,21,26.9
6/25/2019,22,26.3
6/25/2019,23,25.7
6/26/2019,0,25.1
6/26/2019,1,25.6
6/26/2019,2,26.1
6/26/2019,3,26.6
6/26/2019,4,27.46666667
6/26/2019,5,28.33333333
6/26/2019,6,29.2
6/26/2019,7,29.7
6/26/2019,8,30.2
6/26/2019,9,30.7
6/26/2019,10,30.33333333
6/26/2019,11,29.96666667
6/26/2019,12,29.6
6/26/2019,13,29.1
6/26/2019,14,28.6
6/26/2019,15,28.1
6/26/2019,16,27.86666667
6/26/2019,17,27.63333333
6/26/2019,18,27.4
6/26/2019,19,27.03333333
6/26/2019,20,26.66666667
6/26/2019,21,26.3
6/26/2019,22,25.93333333
6/26/2019,23,25.56666667
6/27/2019,0,25.2
6/27/2019,1,25.7
6/27/2019,2,26.2
6/27/2019,3,26.7
6/27/2019,4,27.4
6/27/2019,5,28.1
6/27/2019,6,28.8
6/27/2019,7,29.26666667
6/27/2019,8,29.73333333
6/27/2019,9,30.2
6/27/2019,10,30.23333333
6/27/2019,11,30.26666667
6/27/2019,12,30.3
6/27/2019,13,29.73333333
6/27/2019,14,29.16666667
6/27/2019,15,28.6
6/27/2019,16,28.23333333
6/27/2019,17,27.86666667
6/27/2019,18,27.5
6/27/2019,19,27.06666667
6/27/2019,20,26.63333333
6/27/2019,21,26.2
6/27/2019,22,25.66666667
6/27/2019,23,25.13333333
6/28/2019,0,24.6
6/28/2019,1,26.43333333
6/28/2019,2,28.26666667
6/28/2019,3,30.1
6/28/2019,4,30.86666667
6/28/2019,5,31.63333333
6/28/2019,6,32.4
6/28/2019,7,32.63333333
6/28/2019,8,32.86666667
6/28/2019,9,33.1
6/28/2019,10,32.9
6/28/2019,11,32.7
6/28/2019,12,32.5
6/28/2019,13,31.2
6/28/2019,14,29.9
6/28/2019,15,28.6
6/28/2019,16,27.8
6/28/2019,17,27
6/28/2019,18,26.2
6/28/2019,19,26.3
6/28/2019,20,26.4
6/28/2019,21,26.5
6/28/2019,22,26.16666667
6/28/2019,23,25.83333333
6/29/2019,0,25.5
6/29/2019,1,25.73333333
6/29/2019,2,25.96666667
6/29/2019,3,26.2
6/29/2019,4,27.03333333
6/29/2019,5,27.86666667
6/29/2019,6,28.7
6/29/2019,7,28.93333333
6/29/2019,8,29.16666667
6/29/2019,9,29.4
6/29/2019,10,29.3
6/29/2019,11,29.2
6/29/2019,12,29.1
6/29/2019,13,27.86666667
6/29/2019,14,26.63333333
6/29/2019,15,25.4
6/29/2019,16,25
6/29/2019,17,24.6
6/29/2019,18,24.2
6/29/2019,19,24.1
6/29/2019,20,24
6/29/2019,21,23.9
6/29/2019,22,23.6
6/29/2019,23,23.3
6/30/2019,0,23
6/30/2019,1,23.63333333
6/30/2019,2,24.26666667
6/30/2019,3,24.9
6/30/2019,4,25.53333333
6/30/2019,5,26.16666667
6/30/2019,6,26.8
6/30/2019,7,27.13333333
6/30/2019,8,27.46666667
6/30/2019,9,27.8
6/30/2019,10,27.66666667
6/30/2019,11,27.53333333
6/30/2019,12,27.4
6/30/2019,13,26.66666667
6/30/2019,14,25.93333333
6/30/2019,15,25.2
6/30/2019,16,24.83333333
6/30/2019,17,24.46666667
6/30/2019,18,24.1
6/30/2019,19,23.93333333
6/30/2019,20,23.76666667
6/30/2019,21,23.6
6/30/2019,22,23.4
6/30/2019,23,23.2
7/1/2019,0,23
7/1/2019,1,23.93333333
7/1/2019,2,24.86666667
7/1/2019,3,25.8
7/1/2019,4,26.46666667
7/1/2019,5,27.13333333
7/1/2019,6,27.8
7/1/2019,7,28.2
7/1/2019,8,28.6
7/1/2019,9,29
7/1/2019,10,28.93333333
7/1/2019,11,28.86666667
7/1/2019,12,28.8
7/1/2019,13,28
7/1/2019,14,27.2
7/1/2019,15,26.4
7/1/2019,16,26.3
7/1/2019,17,26.2
7/1/2019,18,26.1
7/1/2019,19,25.16666667
7/1/2019,20,24.23333333
7/1/2019,21,23.3
7/1/2019,22,23.46666667
7/1/2019,23,23.63333333
7/2/2019,0,23.8
7/2/2019,1,24.8
7/2/2019,2,25.8
7/2/2019,3,26.8
7/2/2019,4,27.5
7/2/2019,5,28.2
7/2/2019,6,28.9
7/2/2019,7,28.73333333
7/2/2019,8,28.56666667
7/2/2019,9,28.4
7/2/2019,10,28.43333333
7/2/2019,11,28.46666667
7/2/2019,12,28.5
7/2/2019,13,27.4
7/2/2019,14,26.3
7/2/2019,15,25.2
7/2/2019,16,24.2
7/2/2019,17,23.2
7/2/2019,18,22.2
7/2/2019,19,21.66666667
7/2/2019,20,21.13333333
7/2/2019,21,20.6
7/2/2019,22,20.26666667
7/2/2019,23,19.93333333
7/3/2019,0,19.6
7/3/2019,1,22.33333333
7/3/2019,2,25.06666667
7/3/2019,3,27.8
7/3/2019,4,28.46666667
7/3/2019,5,29.13333333
7/3/2019,6,29.8
7/3/2019,7,30.16666667
7/3/2019,8,30.53333333
7/3/2019,9,30.9
7/3/2019,10,30.8
7/3/2019,11,30.7
7/3/2019,12,30.6
7/3/2019,13,29.4
7/3/2019,14,28.2
7/3/2019,15,27
7/3/2019,16,25.86666667
7/3/2019,17,24.73333333
7/3/2019,18,23.6
7/3/2019,19,22.83333333
7/3/2019,20,22.06666667
7/3/2019,21,21.3
7/3/2019,22,23.06666667
7/3/2019,23,24.83333333
7/4/2019,0,26.6
7/4/2019,1,27.56666667
7/4/2019,2,28.53333333
7/4/2019,3,29.5
7/4/2019,4,29.9
7/4/2019,5,30.3
7/4/2019,6,30.7
7/4/2019,7,30.6
7/4/2019,8,30.5
7/4/2019,9,30.4
7/4/2019,10,30.3
7/4/2019,11,30.2
7/4/2019,12,30.1
7/4/2019,13,29.46666667
7/4/2019,14,28.83333333
7/4/2019,15,28.2
7/4/2019,16,27.66666667
7/4/2019,17,27.13333333
7/4/2019,18,26.6
7/4/2019,19,27.06666667
7/4/2019,20,27.53333333
7/4/2019,21,28
7/4/2019,22,27.76666667
7/4/2019,23,27.53333333
7/5/2019,0,27.3
7/5/2019,1,28.26666667
7/5/2019,2,29.23333333
7/5/2019,3,30.2
7/5/2019,4,30.9
7/5/2019,5,31.6
7/5/2019,6,32.3
7/5/2019,7,31.86666667
7/5/2019,8,31.43333333
7/5/2019,9,31
7/5/2019,10,31.06666667
7/5/2019,11,31.13333333
7/5/2019,12,31.2
7/5/2019,13,29.9
7/5/2019,14,28.6
7/5/2019,15,27.3
7/5/2019,16,26.66666667
7/5/2019,17,26.03333333
7/5/2019,18,25.4
7/5/2019,19,24.86666667
7/5/2019,20,24.33333333
7/5/2019,21,23.8
7/5/2019,22,23.76666667
7/5/2019,23,23.73333333
7/6/2019,0,23.7
7/6/2019,1,25.3
7/6/2019,2,26.9
7/6/2019,3,28.5
7/6/2019,4,29.26666667
7/6/2019,5,30.03333333
7/6/2019,6,30.8
7/6/2019,7,30.76666667
7/6/2019,8,30.73333333
7/6/2019,9,30.7
7/6/2019,10,30.5
7/6/2019,11,30.3
7/6/2019,12,30.1
7/6/2019,13,29
7/6/2019,14,27.9
7/6/2019,15,26.8
7/6/2019,16,25.96666667
7/6/2019,17,25.13333333
7/6/2019,18,24.3
7/6/2019,19,23.56666667
7/6/2019,20,22.83333333
7/6/2019,21,22.1
7/6/2019,22,22.8
7/6/2019,23,23.5
7/7/2019,0,24.2
7/7/2019,1,25.66666667
7/7/2019,2,27.13333333
7/7/2019,3,28.6
7/7/2019,4,29.83333333
7/7/2019,5,31.06666667
7/7/2019,6,32.3
7/7/2019,7,32.56666667
7/7/2019,8,32.83333333
7/7/2019,9,33.1
7/7/2019,10,33.06666667
7/7/2019,11,33.03333333
7/7/2019,12,33
7/7/2019,13,32.13333333
7/7/2019,14,31.26666667
7/7/2019,15,30.4
7/7/2019,16,29.53333333
7/7/2019,17,28.66666667
7/7/2019,18,27.8
7/7/2019,19,27.63333333
7/7/2019,20,27.46666667
7/7/2019,21,27.3
7/7/2019,22,26.2
7/7/2019,23,25.1
7/8/2019,0,24
7/8/2019,1,26.2
7/8/2019,2,28.4
7/8/2019,3,30.6
7/8/2019,4,31.93333333
7/8/2019,5,33.26666667
7/8/2019,6,34.6
7/8/2019,7,34.76666667
7/8/2019,8,34.93333333
7/8/2019,9,35.1
7/8/2019,10,34.7
7/8/2019,11,34.3
7/8/2019,12,33.9
7/8/2019,13,31.63333333
7/8/2019,14,29.36666667
7/8/2019,15,27.1
7/8/2019,16,26.53333333
7/8/2019,17,25.96666667
7/8/2019,18,25.4
7/8/2019,19,24.83333333
7/8/2019,20,24.26666667
7/8/2019,21,23.7
7/8/2019,22,24.5
7/8/2019,23,25.3
7/9/2019,0,26.1
7/9/2019,1,27.7
7/9/2019,2,29.3
7/9/2019,3,30.9
7/9/2019,4,31.26666667
7/9/2019,5,31.63333333
7/9/2019,6,32
7/9/2019,7,32.86666667
7/9/2019,8,33.73333333
7/9/2019,9,34.6
7/9/2019,10,33.7
7/9/2019,11,32.8
7/9/2019,12,31.9
7/9/2019,13,30.9
7/9/2019,14,29.9
7/9/2019,15,28.9
7/9/2019,16,27.83333333
7/9/2019,17,26.76666667
7/9/2019,18,25.7
7/9/2019,19,26
7/9/2019,20,26.3
7/9/2019,21,26.6
7/9/2019,22,25.96666667
7/9/2019,23,25.33333333
7/10/2019,0,24.7
7/10/2019,1,27.1
7/10/2019,2,29.5
7/10/2019,3,31.9
7/10/2019,4,32.06666667
7/10/2019,5,32.23333333
7/10/2019,6,32.4
7/10/2019,7,33.03333333
7/10/2019,8,33.66666667
7/10/2019,9,34.3
7/10/2019,10,34.13333333
7/10/2019,11,33.96666667
7/10/2019,12,33.8
7/10/2019,13,31.86666667
7/10/2019,14,29.93333333
7/10/2019,15,28
7/10/2019,16,28.33333333
7/10/2019,17,28.66666667
7/10/2019,18,29
7/10/2019,19,28.16666667
7/10/2019,20,27.33333333
7/10/2019,21,26.5
7/10/2019,22,25.56666667
7/10/2019,23,24.63333333
7/11/2019,0,23.7
7/11/2019,1,23.83333333
7/11/2019,2,23.96666667
7/11/2019,3,24.1
7/11/2019,4,24.1
7/11/2019,5,24.1
7/11/2019,6,24.1
7/11/2019,7,23.73333333
7/11/2019,8,23.36666667
7/11/2019,9,23
7/11/2019,10,23.4
