Date,Time,Athens_Temp,Brest_Temp,Madrid_Temp,Vienna_Temp
07/31/2020,00:00,29.4,16.5,26.1,21.6
07/31/2020,01:00,nan,16.5,25.3,21.5
07/31/2020,02:00,nan,18.2,25.1,21.3
07/31/2020,03:00,29.1,17,nan,20.7
07/31/2020,04:00,nan,16.9,23.2,20.4
07/31/2020,05:00,nan,16.4,23.3,20.6
07/31/2020,06:00,32.5,17,23.0,23.0
07/31/2020,07:00,nan,16.7,23.6,25.3
07/31/2020,08:00,nan,18.4,25.7,26.5
07/31/2020,09:00,33.9,21.1,nan,27.0
07/31/2020,10:00,nan,21.6,31.0,28.7
07/31/2020,11:00,nan,20.1,33.3,29.0
07/31/2020,12:00,33.0,20.3,35.4,30.0
07/31/2020,13:00,nan,20.4,36.1,30.5
07/31/2020,14:00,nan,19.8,36.7,32.0
07/31/2020,15:00,33.1,18.9,nan,32.8
07/31/2020,16:00,nan,18.5,36.2,31.7
07/31/2020,17:00,nan,18.6,35.8,31.3
07/31/2020,18:00,29.3,18.2,34.6,30.0
07/31/2020,19:00,nan,17.8,33.5,28.7
07/31/2020,20:00,nan,17.4,30.9,27.5
07/31/2020,21:00,26.3,17.1,nan,26.9
07/31/2020,22:00,nan,15.6,28.5,26.0
07/31/2020,23:00,nan,16.5,26.9,24.9
08/01/2020,00:00,26.2,16.6,26.5,23.9
08/01/2020,01:00,nan,16.6,25.7,23.1
08/01/2020,02:00,nan,16.7,24.4,22.7
08/01/2020,03:00,23.4,16.5,nan,22.0
08/01/2020,04:00,nan,16.3,23.2,20.6
08/01/2020,05:00,nan,16.7,22.3,21.3
08/01/2020,06:00,30.2,16.7,21.8,22.4
08/01/2020,07:00,nan,17,23.4,24.7
08/01/2020,08:00,nan,18.3,25.4,25.2
08/01/2020,09:00,34.9,18.6,nan,25.7
08/01/2020,10:00,nan,18.3,31.8,26.2
08/01/2020,11:00,nan,19.1,34.4,27.2
08/01/2020,12:00,33.4,19.5,35.6,28.2
08/01/2020,13:00,nan,20.2,36.0,28.9
08/01/2020,14:00,nan,19.3,37.2,29.3
08/01/2020,15:00,30.7,19.4,nan,29.9
08/01/2020,16:00,nan,19.1,36.2,29.9
08/01/2020,17:00,nan,17.9,35.2,29.4
08/01/2020,18:00,29.3,17,nan,28.4
08/01/2020,19:00,nan,16.9,32.2,26.8
08/01/2020,20:00,nan,16.2,30.2,25.9
08/01/2020,21:00,26.9,15.5,nan,25.2
08/01/2020,22:00,nan,13.2,28.2,24.3
08/01/2020,23:00,nan,13.1,26.4,23.4
08/02/2020,00:00,27.1,14.1,25.8,22.8
08/02/2020,01:00,nan,14,24.6,22.0
08/02/2020,02:00,nan,12.9,25.1,21.6
08/02/2020,03:00,27.6,13.9,nan,20.3
08/02/2020,04:00,nan,13.1,23.3,19.6
08/02/2020,05:00,nan,13.7,22.2,19.9
08/02/2020,06:00,29.8,14.3,21.5,21.0
08/02/2020,07:00,nan,16,22.0,23.3
08/02/2020,08:00,nan,17,23.8,23.4
08/02/2020,09:00,31.5,17.3,nan,25.3
08/02/2020,10:00,nan,18.2,28.7,26.6
08/02/2020,11:00,nan,19.4,31.6,27.4
08/02/2020,12:00,31.0,19.1,32.8,29.3
08/02/2020,13:00,nan,19.1,34.1,29.9
08/02/2020,14:00,nan,20.1,35.2,29.2
08/02/2020,15:00,31.3,19,nan,29.3
08/02/2020,16:00,nan,18.8,33.1,29.0
08/02/2020,17:00,nan,18.6,31.5,27.9
08/02/2020,18:00,28.3,18,30.8,27.1
08/02/2020,19:00,nan,16.8,29.8,26.2
08/02/2020,20:00,nan,15.4,28.2,24.4
08/02/2020,21:00,28.1,13.7,nan,23.0
08/02/2020,22:00,nan,13.6,24.7,23.0
08/02/2020,23:00,nan,13.7,24.0,22.6
08/03/2020,00:00,27.1,13.9,22.7,22.0
08/03/2020,01:00,nan,13.8,21.5,22.3
08/03/2020,02:00,nan,13.4,20.7,22.3
08/03/2020,03:00,26.9,13.5,nan,21.6
08/03/2020,04:00,nan,12.6,19.7,20.4
